iter	Passed	Remaining
0	3	370
1	6	342
2	10	329
3	13	335
4	17	339
5	21	333
6	25	334
7	29	340
8	33	336
9	36	332
10	40	325
11	43	322
12	47	316
13	51	316
14	54	311
15	58	307
16	61	301
17	64	295
18	68	289
19	71	285
20	74	280
21	78	277
22	81	272
23	85	269
24	88	265
25	91	261
26	94	256
27	98	253
28	101	249
29	105	245
30	108	241
31	111	237
32	114	233
33	118	229
34	121	225
35	124	220
36	127	216
37	129	212
38	132	207
39	135	203
40	138	199
41	141	195
42	144	191
43	146	186
44	149	182
45	152	178
46	155	174
47	157	171
48	161	167
49	163	163
50	166	160
51	169	156
52	172	153
53	175	149
54	178	146
55	182	143
56	185	139
57	188	136
58	192	133
59	195	130
60	198	127
61	201	123
62	204	120
63	207	116
64	210	113
65	213	110
66	216	106
67	219	103
68	222	99
69	225	96
70	228	93
71	230	89
72	233	86
73	236	83
74	239	79
75	242	76
76	245	73
77	248	70
78	250	66
79	252	63
80	255	59
81	258	56
82	261	53
83	263	50
84	266	47
85	269	43
86	272	40
87	274	37
88	277	34
89	280	31
90	283	28
91	285	24
92	288	21
93	291	18
94	294	15
95	297	12
96	299	9
97	302	6
98	305	3
99	308	0
