iter	Passed	Remaining
0	1	1662
1	3	1519
2	4	1653
3	6	1712
4	8	1705
5	10	1663
6	11	1658
7	13	1634
8	14	1624
9	16	1620
10	17	1608
11	19	1620
12	21	1633
13	23	1646
14	24	1638
15	26	1630
16	28	1624
17	29	1619
18	31	1612
19	32	1604
20	34	1608
21	36	1623
22	38	1626
23	39	1619
24	41	1616
25	42	1607
26	44	1603
27	46	1599
28	47	1593
29	49	1589
30	51	1597
31	52	1595
32	54	1593
33	55	1589
34	57	1584
35	59	1580
36	60	1580
37	62	1577
38	63	1574
39	65	1577
40	67	1578
41	69	1577
42	70	1574
43	72	1571
44	73	1569
45	75	1566
46	77	1564
47	78	1564
48	80	1570
49	82	1568
50	84	1565
51	85	1562
52	87	1559
53	88	1556
54	90	1554
55	92	1553
56	93	1549
57	95	1552
58	97	1550
59	98	1549
60	100	1545
61	101	1542
62	103	1541
63	105	1538
64	106	1535
65	108	1533
66	110	1540
67	112	1536
68	113	1533
69	115	1532
70	117	1531
71	118	1527
72	120	1524
73	121	1520
74	123	1518
75	125	1527
76	127	1525
77	129	1528
78	130	1526
79	132	1522
80	134	1520
81	135	1518
82	136	1508
83	138	1505
84	141	1517
85	142	1517
86	144	1514
87	145	1513
88	147	1511
89	149	1508
90	150	1505
91	152	1503
92	154	1504
93	156	1509
94	158	1510
95	160	1508
96	161	1505
97	163	1502
98	164	1499
99	166	1497
100	168	1499
101	171	1511
102	174	1521
103	177	1530
104	181	1546
105	184	1554
106	187	1563
107	190	1573
108	193	1584
109	197	1597
110	200	1609
111	204	1617
112	207	1630
113	211	1642
114	214	1650
115	217	1657
116	219	1659
117	223	1667
118	226	1676
119	229	1682
120	232	1691
121	235	1693
122	240	1714
123	243	1723
124	246	1728
125	250	1735
126	252	1737
127	256	1746
128	259	1754
129	262	1759
130	266	1766
131	270	1775
132	273	1781
133	276	1788
134	279	1793
135	283	1800
136	287	1809
137	290	1814
138	293	1820
139	297	1825
140	301	1835
141	303	1834
142	306	1839
143	310	1844
144	313	1848
145	317	1855
146	320	1858
147	323	1863
148	326	1866
149	331	1876
150	334	1880
151	337	1883
152	341	1888
153	344	1893
154	348	1897
155	351	1899
156	354	1901
157	357	1903
158	361	1910
159	364	1912
160	366	1908
161	369	1913
162	372	1915
163	376	1920
164	379	1921
165	382	1922
166	385	1922
167	388	1923
168	391	1926
169	394	1927
170	398	1929
171	400	1929
172	404	1932
173	407	1935
174	410	1935
175	413	1937
176	416	1937
177	420	1943
178	423	1943
179	426	1943
180	429	1942
181	432	1943
182	435	1946
183	438	1946
184	441	1946
185	444	1946
186	447	1947
187	451	1949
188	454	1949
189	457	1949
190	460	1950
191	464	1952
192	468	1958
193	472	1963
194	475	1962
195	478	1963
196	482	1965
197	485	1967
198	489	1968
199	493	1974
200	497	1977
201	501	1979
202	503	1977
203	505	1973
204	508	1971
205	510	1967
206	512	1962
207	513	1956
208	515	1950
209	517	1945
210	518	1939
211	520	1932
212	521	1926
213	523	1921
214	524	1915
215	526	1909
216	527	1902
217	528	1895
218	529	1889
219	530	1882
220	532	1875
221	533	1868
222	534	1861
223	535	1854
224	536	1846
225	537	1840
226	538	1833
227	539	1825
228	540	1818
229	541	1811
230	542	1804
231	542	1797
232	543	1790
233	544	1782
234	545	1775
235	546	1768
236	547	1761
237	547	1754
238	548	1747
239	549	1740
240	550	1733
241	551	1727
242	552	1721
243	553	1715
244	554	1709
245	555	1702
246	556	1695
247	557	1689
248	557	1682
249	558	1676
250	559	1670
251	560	1663
252	561	1657
253	562	1651
254	563	1645
255	564	1639
256	565	1633
257	566	1628
258	567	1622
259	568	1617
260	569	1611
261	569	1605
262	570	1599
263	571	1594
264	572	1588
265	573	1583
266	574	1577
267	575	1571
268	576	1565
269	576	1559
270	577	1554
271	578	1548
272	579	1542
273	580	1537
274	581	1531
275	581	1526
276	582	1521
277	583	1516
278	584	1510
279	585	1505
280	586	1500
281	587	1495
282	587	1489
283	588	1484
284	589	1479
285	590	1474
286	591	1469
287	592	1464
288	592	1458
289	593	1453
290	594	1448
291	595	1443
292	596	1439
293	597	1434
294	598	1429
295	599	1424
296	599	1419
297	600	1414
298	601	1410
299	602	1405
300	603	1400
301	603	1395
302	604	1390
303	605	1385
304	606	1381
305	606	1376
306	607	1371
307	608	1367
308	609	1362
309	610	1358
310	611	1354
311	612	1349
312	612	1345
313	613	1340
314	614	1336
315	615	1331
316	616	1327
317	616	1322
318	617	1318
319	618	1314
320	619	1309
321	619	1305
322	620	1300
323	621	1296
324	622	1292
325	622	1288
326	623	1283
327	624	1279
328	625	1275
329	626	1271
330	627	1267
331	627	1263
332	628	1259
333	629	1255
334	630	1251
335	631	1247
336	631	1242
337	632	1238
338	633	1235
339	634	1231
340	634	1227
341	635	1223
342	636	1219
343	637	1215
344	638	1211
345	639	1207
346	639	1204
347	640	1200
348	641	1197
349	642	1193
350	643	1189
351	644	1185
352	645	1182
353	646	1179
354	646	1175
355	647	1171
356	648	1168
357	649	1164
358	650	1161
359	651	1157
360	651	1154
361	652	1150
362	653	1146
363	654	1143
364	655	1140
365	656	1137
366	657	1134
367	658	1130
368	659	1127
369	659	1123
370	660	1120
371	661	1116
372	662	1113
373	663	1110
374	664	1106
375	664	1103
376	665	1099
377	666	1096
378	667	1093
379	667	1089
380	668	1086
381	669	1083
382	670	1080
383	671	1077
384	672	1073
385	672	1070
386	673	1067
387	674	1063
388	675	1060
389	676	1057
390	677	1054
391	677	1051
392	678	1048
393	679	1044
394	680	1041
395	680	1038
396	681	1035
397	682	1032
398	683	1029
399	684	1026
400	685	1023
401	685	1020
402	686	1017
403	687	1014
404	688	1011
405	689	1008
406	689	1005
407	690	1002
408	691	999
409	692	995
410	692	992
411	693	989
412	694	987
413	695	984
414	696	981
415	696	978
416	697	975
417	698	972
418	699	969
419	700	967
420	701	964
421	702	961
422	702	958
423	703	955
424	704	953
425	705	950
426	705	947
427	706	944
428	707	941
429	708	939
430	709	936
431	710	933
432	711	931
433	712	928
434	713	926
435	714	924
436	715	921
437	716	919
438	717	916
439	718	914
440	719	911
441	719	908
442	720	906
443	721	903
444	722	900
445	723	898
446	723	895
447	724	893
448	725	890
449	726	887
450	727	885
451	727	882
452	728	880
453	729	877
454	730	875
455	731	872
456	732	870
457	732	867
458	733	864
459	734	862
460	735	859
461	736	857
462	736	854
463	737	852
464	738	849
465	739	847
466	740	844
467	740	842
468	741	839
469	742	837
470	743	835
471	744	832
472	745	830
473	746	828
474	747	825
475	747	823
476	748	820
477	749	818
478	750	816
479	751	813
480	751	811
481	752	809
482	753	806
483	754	804
484	755	801
485	755	799
486	756	797
487	757	794
488	758	792
489	759	790
490	760	788
491	761	785
492	761	783
493	762	781
494	763	778
495	764	776
496	764	774
497	765	771
498	766	769
499	767	767
500	768	765
501	768	762
502	769	760
503	770	758
504	771	755
505	771	753
506	772	751
507	773	749
508	774	747
509	775	745
510	776	742
511	777	740
512	777	738
513	778	736
514	779	734
515	780	731
516	781	729
517	781	727
518	782	725
519	783	723
520	784	721
521	785	718
522	785	716
523	786	714
524	787	712
525	788	710
526	789	708
527	790	706
528	791	704
529	791	702
530	792	700
531	793	698
532	794	695
533	795	693
534	795	691
535	796	689
536	797	687
537	798	685
538	799	683
539	800	681
540	800	679
541	801	677
542	802	675
543	803	673
544	804	671
545	805	669
546	805	667
547	806	665
548	807	663
549	808	661
550	809	659
551	809	657
552	810	655
553	811	653
554	812	651
555	813	649
556	814	648
557	815	646
558	816	644
559	817	642
560	818	640
561	819	638
562	820	636
563	820	634
564	821	632
565	822	630
566	823	628
567	824	626
568	824	624
569	825	622
570	826	621
571	827	619
572	828	617
573	829	615
574	829	613
575	830	611
576	831	609
577	832	607
578	833	606
579	834	604
580	835	602
581	836	600
582	836	598
583	837	596
584	838	594
585	839	592
586	839	590
587	840	589
588	841	587
589	842	585
590	843	583
591	843	581
592	844	579
593	845	577
594	846	576
595	847	574
596	848	572
597	849	571
598	850	569
599	851	567
600	851	565
601	852	563
602	853	561
603	854	560
604	855	558
605	855	556
606	856	554
607	857	552
608	858	550
609	858	549
610	859	547
611	860	545
612	861	543
613	863	542
614	864	541
615	865	539
616	866	538
617	868	536
618	869	535
619	870	533
620	871	531
621	872	530
622	873	528
623	874	526
624	874	524
625	875	523
626	876	521
627	877	519
628	878	518
629	879	516
630	880	514
631	880	512
632	881	511
633	882	509
634	883	507
635	884	505
636	884	504
637	885	502
638	886	500
639	887	499
640	888	497
641	888	495
642	889	493
643	890	492
644	891	490
645	892	489
646	893	487
647	893	485
648	894	483
649	895	482
650	896	480
651	897	478
652	897	477
653	898	475
654	899	473
655	900	471
656	900	470
657	901	468
658	902	466
659	903	465
660	903	463
661	904	461
662	905	460
663	906	458
664	907	457
665	908	455
666	908	453
667	909	452
668	910	450
669	911	448
670	912	447
671	912	445
672	913	443
673	914	442
674	915	440
675	916	439
676	916	437
677	917	435
678	918	434
679	919	432
680	920	430
681	921	429
682	922	428
683	922	426
684	923	424
685	924	423
686	925	421
687	926	420
688	927	418
689	927	416
690	928	415
691	929	413
692	930	412
693	930	410
694	931	408
695	932	407
696	933	405
697	934	404
698	935	402
699	936	401
700	937	399
701	937	398
702	938	396
703	939	395
704	940	393
705	941	391
706	941	390
707	942	388
708	943	387
709	944	385
710	945	384
711	946	382
712	946	381
713	947	379
714	948	378
715	949	376
716	949	374
717	951	373
718	951	372
719	952	370
720	953	368
721	954	367
722	955	365
723	955	364
724	956	362
725	957	361
726	958	359
727	958	358
728	959	356
729	960	355
730	961	353
731	962	352
732	962	350
733	963	349
734	964	347
735	965	346
736	966	344
737	967	343
738	968	342
739	969	340
740	969	339
741	970	337
742	971	336
743	972	334
744	973	333
745	973	331
746	974	330
747	975	328
748	976	327
749	977	325
750	978	324
751	979	322
752	980	321
753	982	320
754	983	319
755	984	317
756	985	316
757	986	314
758	987	313
759	988	312
760	989	310
761	989	309
762	990	307
763	991	306
764	992	304
765	993	303
766	994	302
767	995	300
768	996	299
769	997	297
770	998	296
771	999	295
772	1000	293
773	1000	292
774	1001	290
775	1002	289
776	1003	288
777	1004	286
778	1005	285
779	1005	283
780	1006	282
781	1007	280
782	1008	279
783	1009	278
784	1010	276
785	1011	275
786	1012	273
787	1012	272
788	1013	271
789	1014	269
790	1015	268
791	1016	266
792	1016	265
793	1017	264
794	1018	262
795	1019	261
796	1020	259
797	1020	258
798	1021	257
799	1022	255
800	1023	254
801	1024	252
802	1025	251
803	1026	250
804	1027	248
805	1028	247
806	1029	246
807	1030	244
808	1031	243
809	1032	242
810	1032	240
811	1033	239
812	1034	237
813	1035	236
814	1036	235
815	1037	233
816	1038	232
817	1039	231
818	1040	229
819	1041	228
820	1042	227
821	1043	225
822	1044	224
823	1044	223
824	1045	221
825	1046	220
826	1047	219
827	1047	217
828	1048	216
829	1049	214
830	1050	213
831	1051	212
832	1052	210
833	1052	209
834	1053	208
835	1054	206
836	1055	205
837	1056	204
838	1057	202
839	1058	201
840	1059	200
841	1059	198
842	1060	197
843	1061	196
844	1062	194
845	1063	193
846	1063	192
847	1064	190
848	1065	189
849	1066	188
850	1067	186
851	1068	185
852	1069	184
853	1070	182
854	1071	181
855	1072	180
856	1073	179
857	1074	177
858	1075	176
859	1076	175
860	1077	173
861	1078	172
862	1079	171
863	1080	170
864	1081	168
865	1082	167
866	1083	166
867	1085	165
868	1086	163
869	1087	162
870	1088	161
871	1089	159
872	1089	158
873	1090	157
874	1091	155
875	1092	154
876	1093	153
877	1093	152
878	1094	150
879	1095	149
880	1096	148
881	1097	146
882	1097	145
883	1098	144
884	1099	142
885	1100	141
886	1101	140
887	1102	139
888	1103	137
889	1104	136
890	1104	135
891	1105	133
892	1106	132
893	1107	131
894	1108	129
895	1108	128
896	1109	127
897	1110	126
898	1111	124
899	1112	123
900	1112	122
901	1113	121
902	1114	119
903	1116	118
904	1116	117
905	1117	115
906	1118	114
907	1119	113
908	1120	112
909	1120	110
910	1121	109
911	1122	108
912	1123	107
913	1124	105
914	1124	104
915	1125	103
916	1126	101
917	1127	100
918	1128	99
919	1129	98
920	1130	96
921	1130	95
922	1131	94
923	1132	93
924	1133	91
925	1134	90
926	1134	89
927	1135	88
928	1136	86
929	1137	85
930	1139	84
931	1139	83
932	1140	81
933	1141	80
934	1142	79
935	1142	78
936	1143	76
937	1144	75
938	1145	74
939	1146	73
940	1147	71
941	1147	70
942	1148	69
943	1149	68
944	1150	66
945	1151	65
946	1151	64
947	1152	63
948	1153	61
949	1154	60
950	1155	59
951	1155	58
952	1156	57
953	1157	55
954	1158	54
955	1159	53
956	1160	52
957	1161	50
958	1162	49
959	1163	48
960	1163	47
961	1164	46
962	1165	44
963	1166	43
964	1166	42
965	1167	41
966	1168	39
967	1169	38
968	1170	37
969	1171	36
970	1171	34
971	1172	33
972	1173	32
973	1174	31
974	1175	30
975	1176	28
976	1177	27
977	1178	26
978	1178	25
979	1179	24
980	1180	22
981	1181	21
982	1182	20
983	1183	19
984	1184	18
985	1184	16
986	1185	15
987	1186	14
988	1187	13
989	1188	12
990	1189	10
991	1190	9
992	1191	8
993	1192	7
994	1192	5
995	1193	4
996	1194	3
997	1195	2
998	1196	1
999	1197	0
